time,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 15,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 10,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 7,T + SeTr + St 5,T + SeTr + St 5,T + SeTr + St 5,T + SeTr ,T + SeTr ,T + SeTr ,T ,T ,T ,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 15,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se + T + SeTr + St 10,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se +T + SeTr + St 7,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + T + SeTr + St 5,Se + To + SeTr,Se + To + SeTr,Se + To + SeTr,Se + To ,Se + To ,Se + To ,Se + ST 15,Se + ST 15,Se + ST 15,Se + ST 10,Se + ST 10,Se + ST 10,Se + ST 7,Se + ST 7,Se + ST 7,Se + ST 5,Se + ST 5,Se + ST 5,Se ,Se ,Se ,Negative ,Negative ,Negative 
0 h ,13907,13622,18365,18536,19298,20613,19366,18952,19473,20407,16128,17640,21153,21586,21823,21437,20687,20569,23490,22110,23161,23413,20495,24491,20747,22183,22682,25005,25753,25401,21414,24550,23733,24311,24923,22063,27250,17264,23552,23449,21328,18784,23853,25416,24161,24450,26421,28536,28059,27238,27008,20696,20811,21598
0 h 2 min,13733,13570,17835,17803,18467,19449,18373,18111,18735,19747,15642,17553,20169,20757,20917,20468,20051,19844,24542,22247,23241,24725,20762,24027,21682,21938,23151,26469,25019,25179,21553,24626,23584,25341,24097,22325,27884,17385,24102,23378,21431,18325,24003,25804,23895,23724,26471,26500,27754,26150,26176,19771,19507,21090
0 h 4 min,13666,13443,17017,16959,16679,17481,17142,17059,17602,18350,15278,17115,18936,19460,19573,18820,18371,18992,25133,21507,22808,22365,20744,24206,22081,22558,22804,25200,24311,24540,20961,23894,22494,24148,23540,22082,27090,18068,23915,23029,20168,18706,23516,24869,24978,24068,23952,24660,25665,24034,23641,18072,17609,20268
0 h 6 min,12995,12763,15746,15762,15101,16275,15227,16067,16231,17037,14198,15980,17313,17573,17575,17251,16807,17339,23618,21881,21932,21549,20743,23231,22371,23187,22500,25083,22790,22859,21425,24337,21845,22859,23623,21494,23926,17639,22922,22261,19149,17463,24510,24753,24635,23484,24091,22187,24457,22092,21633,16010,15354,19448
0 h 8 min,12166,12583,14483,14766,13192,14505,13872,14563,14789,15324,13728,14961,15815,15814,15613,15550,14856,16001,21664,19617,20475,20111,19936,23675,23188,22916,22543,23118,22370,20733,20108,23368,20879,21208,23152,20271,23061,18717,21580,21325,18154,16985,23941,26296,24496,23514,20951,19681,21081,20400,18759,14345,12923,16821
0 h 10 min,11983,11748,13982,13514,11757,12763,12218,13094,13165,13959,12981,13789,13937,13845,13523,13495,12999,14423,20946,18670,19770,18811,19243,23166,23112,22909,21561,21179,20689,18914,19950,22446,19947,20313,21986,20755,21522,18911,20736,20425,16963,15613,23953,24649,23553,23002,18758,18841,19122,18307,17244,12028,11418,13505
0 h 12 min,11470,11278,12682,12275,10976,12016,11168,11972,11959,12683,12106,12814,12447,12244,12448,12227,12042,12825,21527,18612,19399,17664,18868,23006,23124,22712,21209,21633,20195,18829,19196,21162,19003,19815,20965,19003,20037,19842,18789,17850,16380,14677,22526,24685,22484,20698,19771,17668,18875,17234,16784,11205,11019,11701
0 h 14 min,11144,11147,11752,11548,10768,11816,10963,11083,11490,11717,11210,11751,12000,11972,11987,11922,11597,11683,21750,17725,19751,17892,18279,21916,22800,22800,19706,20485,20226,19491,18703,19883,18553,18448,20137,18488,20951,19962,17152,16493,15243,13650,21553,22658,21198,18698,18496,17702,18952,17080,16694,10912,10777,11391
0 h 16 min,10634,10715,11516,11325,10694,11635,11011,10877,11352,11668,10243,10967,11630,11784,11850,11596,11488,11403,22562,18387,19953,19534,17540,21950,22443,21939,19118,20135,22187,19414,18227,20327,18638,18717,18961,17193,18811,20992,17150,16255,15310,13358,20033,22079,19388,18217,20349,18214,19947,18599,16791,10484,10763,11248
0 h 18 min,10359,10442,11357,11321,10822,11844,11135,10711,11536,11811,9892,10630,12009,12055,11757,11572,11249,11208,24076,19034,19757,19835,17963,21682,21313,21279,19672,20085,21852,19254,17845,20774,18787,17880,18759,17331,19846,20245,17605,15992,15845,13231,18485,19868,17881,16893,19301,19164,18489,17217,16451,10434,10531,11382
0 h 20 min,10026,10022,11263,11569,10746,11899,11106,10972,11680,11677,9812,10613,11977,11818,12054,11562,11325,11327,23924,20064,20650,20266,18019,21867,21189,21314,19578,21085,22370,19784,17294,21020,18841,18097,18927,17238,19011,19717,16649,16191,14772,13510,18064,19082,18292,17010,19707,17789,18958,17817,16640,10092,10513,11207
0 h 22 min,9887,9963,11443,11454,10772,12012,11216,10849,11730,12056,9698,10548,11938,12004,11880,11546,11415,11292,24879,20533,21511,20493,18194,22667,20760,21619,20071,20717,22435,20002,17493,20516,18980,18050,19065,17561,20176,19423,16898,16508,14761,13191,18141,19472,18236,17623,19854,17851,18601,17724,16998,10165,10630,11309
0 h 24 min,9754,9875,11463,11721,10917,12179,11479,11151,11809,11852,9731,10626,12120,12011,12147,11559,11755,11353,25118,22044,22261,21165,18734,23481,21167,21956,20293,21104,23755,21092,17224,20755,20312,18143,18653,17481,19828,19461,17634,16441,15046,13684,18201,19783,18296,17648,19466,17784,19455,18047,18187,10364,10761,11435
0 h 26 min,9754,10011,11753,11796,11359,12571,11730,11202,11933,12124,9757,10373,12371,12163,12241,11928,11859,11162,25903,22757,23057,21957,19514,24366,21810,23026,20504,21034,23882,20454,17451,20994,20179,18714,18318,17883,19928,19434,17561,16540,14631,13658,18916,19903,18507,16859,19927,18785,19225,18777,17900,10472,10898,11504
0 h 28 min,9928,9937,11792,12251,11961,13160,11939,11556,12234,12342,9968,10473,12561,12563,12348,12173,12130,11609,26937,24098,23830,22552,19608,24439,21852,22962,21054,22016,24883,21027,18328,21436,20176,19236,18271,18190,19703,19197,18010,16439,14771,13579,19106,20866,18592,17568,20513,18909,19536,18152,17997,10394,10908,11530
0 h 30 min,9766,9938,12131,12297,11818,13263,12078,11682,12768,12654,9881,10671,12697,12871,12835,12253,12157,11916,27372,24241,24888,23394,20084,25508,22639,23274,21749,22793,25495,22071,18414,21840,20058,19251,18649,18399,20860,18862,17678,16580,14980,13875,18928,20842,18186,17728,21216,19516,19643,19032,18497,10422,10791,11664
0 h 32 min,10030,10241,12639,12823,12134,13383,12362,12070,12881,12916,9853,10851,12918,13009,12706,12320,12466,12246,28619,24490,25104,24543,20649,25596,22846,23309,22344,23656,26664,22682,19009,21855,20732,18990,19046,19253,21510,18212,18417,16839,15525,14098,18684,20090,19036,17775,21869,19082,20521,19245,18831,10447,10922,11666
0 h 34 min,10233,10440,12598,13102,12410,13725,12800,12150,13383,13237,9986,10846,13178,13268,13054,12771,13002,12282,28653,25429,26243,25232,21257,26663,23125,23782,22705,24440,28283,23613,19031,22691,20648,19729,18763,18538,21100,18217,18447,17033,15360,14234,18304,20700,19485,18045,21923,19849,20813,19548,19210,10385,10764,11712
0 h 36 min,10564,10503,13267,13351,12708,14065,12783,12662,13532,13607,10446,11058,13348,13647,13413,12572,12804,12346,30906,26233,26999,25766,21506,27209,23602,24119,23193,25288,28605,23831,18629,22696,20750,19914,19167,18794,21970,18941,18661,17442,15794,14041,18637,20486,20249,18694,21545,20067,20004,19668,19277,10315,10806,11754
0 h 38 min,11113,10912,13611,13613,13042,14447,13029,12647,13917,13558,10876,11582,13755,13762,13604,12988,13150,12714,31159,27552,28061,26779,22175,28037,24276,25169,24168,25917,30182,24305,19278,23485,21724,20561,19784,19264,22087,19553,19535,17899,16482,14556,19206,20843,20049,19658,22454,20586,20599,19449,19244,10315,10750,11732
0 h 40 min,11447,11505,13726,13981,12954,14737,13337,12944,14121,13675,10898,11622,13821,13770,13912,12995,13180,12909,32041,29153,29672,27550,23248,29438,24985,26203,24767,26871,30487,25193,19542,23496,21658,20829,20502,19188,22641,19392,19221,18715,17135,14873,19789,21127,20086,20192,23992,21163,21040,20532,19537,10564,10722,11572
0 h 42 min,11970,11860,14212,14365,13316,14770,13648,13077,14486,14079,11075,11707,13864,14147,13955,13284,13612,12893,33335,28649,29857,28151,23965,30748,25289,26606,25275,27262,30878,26025,20409,22822,21731,21225,20787,19600,22583,19917,20099,18260,16927,15388,19902,21474,20583,20564,23653,20893,20640,20509,19470,10418,10878,11833
0 h 44 min,12220,12134,14576,14496,13537,15260,13759,13309,14795,14274,11317,11897,14167,14434,14245,13425,13601,13390,35233,29798,30647,28836,24557,31229,26202,27897,25915,27527,31249,26783,20466,23522,22491,21873,21152,19813,23253,20298,20278,18722,17324,15337,20205,21728,20707,20313,23254,21147,21083,20332,20352,10667,10994,11696
0 h 46 min,12587,12639,14856,14889,13805,15705,13907,13891,14804,14612,11616,12129,14350,14595,14407,13592,13966,13693,35537,30993,31414,28916,25288,31929,26937,28584,26166,28272,31818,27634,20595,23513,22715,22292,21834,20079,23672,20600,20681,19352,17890,15855,20470,21997,20775,20248,23834,21240,20838,20914,20131,10391,10813,11929
0 h 48 min,13094,13352,15185,15298,14413,15769,14249,14208,15208,14917,11854,12489,14845,14701,14601,13933,14286,13717,36639,32192,32303,29416,25701,32892,27528,29707,27182,29172,31861,28530,20810,24266,22833,22633,21698,20990,24440,20405,21386,19109,18243,16154,20640,22188,20839,21492,24248,22055,21677,21254,20514,10551,10921,12138
0 h 50 min,13642,13562,15559,15682,14373,16295,14660,14225,15453,15016,12071,12638,15013,14922,14932,14163,14608,13778,37760,32080,33323,29996,26155,33806,28540,29826,27347,29287,32704,28779,21487,24235,23528,22770,21522,21181,24308,20783,22003,19321,18672,16331,20874,22720,21615,21601,24283,21994,21215,21964,20482,10489,10880,12195
0 h 52 min,13977,13931,16019,15680,15088,16554,14790,14565,16021,15700,12446,12864,15009,15278,15165,14627,14724,14011,38400,33274,34207,30735,26870,34893,29261,30670,28338,30246,33993,29462,22004,24473,23525,23082,22192,21070,24684,21247,22444,20034,19056,17100,21466,22469,21556,20891,25044,22537,21724,21867,20597,10764,10971,12050
0 h 54 min,14365,14608,16478,16417,15085,17325,15012,14868,16160,15843,12652,13061,15455,15352,15405,14638,15083,14628,39447,33982,35007,32506,27796,35591,29725,31134,28683,30835,34408,30045,22495,24585,23997,23408,22162,21753,24994,22329,23103,20147,19452,17475,21801,23049,22186,21634,24687,23145,21953,21861,21152,10734,11124,12250
0 h 56 min,14915,15137,16777,16704,15623,17507,15430,15405,16322,15857,13056,13235,15593,15862,15748,14935,15311,14678,40321,35616,36400,32529,28364,36325,30241,32240,29343,31427,34913,31075,22917,25134,24153,23628,22324,22132,25456,22086,23183,20936,19385,17084,21689,23327,22083,21586,25149,23476,21871,21956,21050,10696,11183,12016
0 h 58 min,15247,15617,17221,17264,15734,17592,15764,15608,16658,16156,13187,13361,15842,16087,16041,15082,15726,14768,41645,36001,36558,33679,29563,37015,31461,32722,29966,31812,35686,31404,22847,25297,24449,23761,22840,22614,25749,22718,23303,21405,19944,17334,22164,23482,22374,21645,25623,23527,22325,22479,21210,10656,11013,12015
1 h ,15768,15972,17636,17271,16248,18291,16027,15720,16759,16664,13376,13617,16306,16181,16194,15062,15937,15249,43122,37208,38178,34721,29987,38043,32208,33508,30777,32376,35836,32086,23545,25711,24955,24326,22987,22754,26667,23424,23913,21325,20390,17598,22299,23553,23005,22144,25636,24259,22857,22161,21626,10791,11186,12040
1 h 2 min,16248,16225,18086,18101,16551,18746,16287,16275,17271,16904,13592,13660,16495,16537,16610,15737,16221,15541,44457,37781,39247,35039,30608,38713,32562,33636,31142,33658,36650,33152,23862,26375,24956,24757,23266,23000,27045,23716,24587,21208,20274,18138,22612,24055,22849,22418,26491,24336,22715,22507,21567,10728,11225,12171
1 h 4 min,17069,16917,18633,18273,16892,18939,16308,16320,17421,17276,13977,14257,16578,16814,16771,15652,16058,15613,45526,39284,39810,34997,30898,40352,33682,34757,31457,34536,36890,33778,24215,26251,25526,24832,23570,23447,27286,24067,25297,22115,20543,18211,23164,24221,23317,22776,26821,24784,22712,22827,22392,10596,11133,12350
1 h 6 min,17183,17278,18810,18539,17249,19421,16909,16990,17987,17563,14222,14631,16983,17071,16984,15818,17022,15850,45848,39549,40835,35530,31016,40776,34555,35282,32457,34826,37645,33935,24496,26671,25416,25374,24191,23366,27451,24164,25333,21962,20661,18633,23544,24720,23689,22866,27216,24590,22914,23298,22066,10732,11273,12488
1 h 8 min,17987,17954,19085,18900,18034,19573,17141,16769,18335,18036,14362,14930,17137,17216,17222,16344,16927,16067,47262,40189,41935,36187,32088,41818,34702,35744,32931,35820,38187,34800,25590,27107,25756,25239,24166,23935,28125,24405,25638,22422,21317,18580,23548,25001,24039,22771,26938,25048,23347,23144,22495,10714,11313,12410
1 h 10 min,18123,18250,19758,19046,18164,20229,17447,17228,18382,18164,14735,14865,17640,17717,17541,16646,16816,16395,48334,41028,42739,37023,32568,42794,35497,36774,33373,37148,38837,35411,25491,26942,25806,25622,23908,23957,27956,24524,25700,22722,21513,19026,23555,25452,24256,23893,27377,25285,23637,24037,22615,10786,11299,12373
1 h 12 min,18838,18907,20467,19777,18427,20792,17872,17559,18828,18588,14965,15251,17484,17988,17869,16671,17369,16879,48823,42033,43713,37584,33296,43517,36261,37213,33835,37093,39368,36301,26158,27563,26887,26016,24237,24620,28716,25024,26461,23053,21530,19594,24085,25401,24214,23791,27725,25358,24038,23697,23251,11010,11387,12333
1 h 14 min,19218,19533,20592,20068,18698,20923,17997,18212,19186,18762,15429,15246,18074,18116,17980,16940,17833,16915,49778,43621,44709,38045,33414,44142,36618,38140,34283,38001,39962,36965,26134,27596,27115,26554,24872,24753,28856,25161,26683,23188,21700,19291,24659,25507,24303,23449,28505,25868,23766,24000,22751,11057,11294,12422
1 h 16 min,19752,19906,21313,20457,19135,21388,18451,18249,19482,19197,15843,15552,18249,18528,18447,17301,17875,17284,50865,44018,45577,39113,34118,45311,37342,38671,35296,38647,40679,37561,26448,27767,27160,27013,25191,25399,29591,25407,26784,23460,21717,19597,24686,26094,24732,23777,28580,26323,24013,24358,23572,10930,11495,12618
1 h 18 min,20230,20202,21720,20897,19568,21982,18798,18451,19738,19520,15843,16006,18699,18490,18757,17257,18077,17572,51641,45033,46347,40060,35124,46264,37701,39398,35573,39590,41397,37646,26592,28469,27849,27288,25355,25462,29608,25743,27347,23820,22083,20476,24738,26247,24705,24647,29017,26169,24017,24229,23392,10919,11501,12465
1 h 20 min,20777,20845,22212,21260,20100,22251,19108,19061,20416,19830,16336,16177,18997,19118,19014,17840,18374,17779,52950,45318,47725,40720,35994,47223,38566,40196,35732,39988,42135,38288,27022,28614,27707,27309,25765,25914,30552,25851,27574,24041,22345,20300,25013,26146,25083,24559,28717,26353,24125,24336,23642,11065,11490,12535
1 h 22 min,21556,21461,22362,21833,20286,22623,19187,19438,20615,19983,16454,16277,18879,19246,19265,17834,18673,18317,54006,47013,48019,41746,35878,47745,39447,40990,36330,40756,42447,39282,27719,29169,28426,27583,26022,26237,30857,25953,28011,24312,22793,20530,25765,26687,25343,24728,29003,26983,24356,24620,23781,11017,11368,12830
1 h 24 min,21689,22104,23038,22269,20499,23140,19888,20054,20894,20346,16833,16706,19493,19374,19648,17996,19140,18266,54771,47790,49967,42448,37059,48813,39859,41482,37024,41239,43293,40093,27615,29400,28590,27983,26089,26193,30934,26127,29035,24400,22799,20707,25199,26718,25601,25024,29370,26817,24071,24790,23676,10954,11414,13054
1 h 26 min,22560,22441,23504,22959,21153,23405,19993,20028,21384,20735,16918,16876,19812,19997,19770,18451,19199,18542,55681,48744,49973,42851,37399,49300,40687,42335,37943,42143,43847,40602,28181,29760,28860,28172,26169,26349,31647,26559,28732,24776,22914,21136,25671,26919,25472,25098,29322,27386,24623,25031,24194,11064,11466,12808
