time,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,sfGFP + St6Tr3 15 nM,Se6To3,Se6To3,Se6To3,Se6To3,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 5 nM + Tr3 5 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 7 nM + Tr3 7 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 10 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 15 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 5 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 7 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM,Se6To3+ St6 15 nM + Tr3 10 nM
1 h 37 min,49242.5,45513.5,42485.5,39420.5,-85.5,144.5,93.5,19.5,494.75,233.75,395.75,1021.75,440.5,576.5,984.5,918.5,1785.5,1413.5,829.5,2689.5,4745.5,3495.5,2132.5,3272.5,1330.25,918.25,365.25,290.25,3304.75,1696.75,3349.75,2322.75,2148.25,2211.25,1895.25,2904.25
1 h 39 min,52208.5,47581.5,44946.5,41817.5,-438.5,338.5,-455.5,286.5,660.75,663.75,610.75,1108.75,837.5,845.5,635.5,908.5,1842.5,1942.5,1034.5,2819.5,5453.5,4248.5,2640.5,3922.5,1978.25,833.25,469.25,454.25,3426.75,2084.75,3505.75,2787.75,2537.25,2833.25,2115.25,3700.25
1 h 42 min,54002.5,50017.5,47104.5,43008.5,147.5,314.5,-156.5,333.5,538.75,470.75,681.75,1243.75,765.5,1079.5,1469.5,1603.5,1930.5,1869.5,1621.5,2909.5,5450.5,4624.5,2848.5,4389.5,2257.25,1512.25,674.25,453.25,3950.75,2086.75,4001.75,2657.75,2687.25,3062.25,2332.25,3869.25
1 h 44 min,55733.5,52485.5,47637.5,45322.5,465.5,423.5,84.5,310.5,768.75,705.75,505.75,1555.75,913.5,1275.5,1164.5,1536.5,2552.5,1851.5,1681.5,3262.5,5869.5,4834.5,3371.5,5064.5,2105.25,1379.25,788.25,869.25,4426.75,2435.75,4055.75,2929.75,3095.25,2826.25,2343.25,4266.25
1 h 46 min,57601.5,54354.5,50109.5,47243.5,283.5,548.5,270.5,336.5,1013.75,1043.75,800.75,1802.75,1600.5,1411.5,1226.5,1922.5,2421.5,2427.5,2084.5,3763.5,6504.5,5374.5,3484.5,5346.5,2798.25,1309.25,1241.25,864.25,4726.75,3010.75,4410.75,3511.75,3482.25,3091.25,2917.25,4128.25
1 h 49 min,60224.5,56562.5,52538.5,48930.5,-123.5,508.5,639.5,25.5,1282.75,1268.75,1085.75,1739.75,1480.5,1446.5,1228.5,1453.5,2999.5,2848.5,2214.5,3561.5,6830.5,6291.5,3767.5,5501.5,2537.25,1568.25,1154.25,1264.25,5006.75,2872.75,4920.75,4160.75,3555.25,3666.25,2973.25,4478.25
1 h 51 min,62652.5,59244.5,53528.5,50735.5,605.5,836.5,33.5,543.5,1370.75,1158.75,1070.75,2084.75,1566.5,1974.5,1813.5,2051.5,3111.5,2582.5,2366.5,4096.5,8134.5,6472.5,4379.5,6448.5,2790.25,1910.25,995.25,1320.25,5125.75,3304.75,6136.75,4119.75,3872.25,4072.25,3269.25,4948.25
1 h 54 min,64710.5,61058.5,55511.5,52743.5,453.5,1067.5,433.5,283.5,1602.75,1450.75,1168.75,1911.75,1758.5,2048.5,1867.5,2374.5,2901.5,3014.5,2472.5,4494.5,8044.5,7445.5,4820.5,7023.5,2772.25,2307.25,990.25,1156.25,5631.75,3893.75,5809.75,4624.75,4154.25,4361.25,3491.25,5293.25
1 h 56 min,67008.5,62779.5,57414.5,55171.5,492.5,592.5,59.5,224.5,1854.75,1512.75,1422.75,2600.75,2011.5,2068.5,2267.5,2835.5,3236.5,2823.5,2680.5,4627.5,8581.5,7389.5,5213.5,7692.5,2720.25,2129.25,1547.25,1509.25,6531.75,3922.75,6715.75,5354.75,4394.25,4371.25,3734.25,6149.25
1 h 58 min,68298.5,65356.5,58975.5,56804.5,747.5,950.5,537.5,458.5,1651.75,1697.75,1351.75,2374.75,2324.5,2634.5,2700.5,2458.5,3757.5,3615.5,3170.5,4895.5,8908.5,8483.5,5511.5,8368.5,3752.25,2477.25,1592.25,1814.25,7044.75,4502.75,7314.75,5741.75,4933.25,4728.25,4212.25,5820.25
