time,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 15 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 10 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 15 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 10 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 10 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 15 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 10 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 5 nM + St1 5 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 15 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 10 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM + Se1Tr1 5 nM,To1 3 nM,To1 3 nM,To1 3 nM,sfGFP 3 nM,sfGFP 3 nM,sfGFP 3 nM,Control,Control,Control
7 h 40 min,1067533,926724,1018828,936900,743027,828419,416169,422948,419840,893434,1050276,970081,910058,1111990,998476,496763,525131,465617,1445338,1319751,1216661,936817,963343,939925,399173,417228,423017,86043,91512,78295,71456,79616,74029,82889,84981,71300,28460,27270,25772,28082,28213,28967,27099,29164,26017
7 h 50 min,1062321,927646,1022747,936034,743137,831266,417173,424433,420115,894451,1053012,968871,912245,1117600,1002780,498729,526905,465865,1443041,1320961,1222739,935387,965268,940723,398499,417613,422247,85890,92524,78865,72770,80412,75768,82717,85366,71657,28714,27879,26046,28436,28622,29259,27192,29494,25818
8 h ,1066790,929640,1019474,939980,742848,832173,417654,425643,419882,896087,1054373,968527,913702,1115661,999439,497808,526671,466786,1443963,1319311,1218999,938069,963150,943129,401868,419277,422824,87064,92938,79558,72335,82022,74956,84055,85848,72154,29752,28205,26684,28710,29141,29226,27200,29692,26376
8 h 10 min,1065525,931496,1018222,941520,742724,832765,417778,424736,419249,898975,1053631,966409,912341,1118329,997954,498330,529008,466951,1445901,1319187,1222148,934329,965722,944353,401456,419180,424791,87193,92892,78621,73177,81579,76073,83898,85940,72594,28897,28064,27016,29482,29141,29606,27675,29656,26507
8 h 20 min,1066735,932321,1023544,941465,743274,832792,418630,426757,421876,900006,1054305,963865,914225,1119470,1003000,499650,528032,468092,1448198,1319600,1226080,934920,963769,944325,400631,420459,426138,88186,93409,80907,74617,83596,77640,84505,87077,73522,30037,29203,27167,29121,29616,30341,27853,29756,26679
8 h 30 min,1069499,931523,1020326,941561,742807,835817,419125,426606,422357,901340,1052710,964333,918268,1123444,1002134,499155,527661,466965,1445530,1315887,1227565,934975,966519,943418,401579,419428,426523,89303,94872,81269,74906,83962,78616,85189,86831,74067,30799,29238,27694,29661,29641,30065,28120,30185,27308
8 h 40 min,1046701,913400,1001859,923452,726856,820004,415454,420005,414849,898095,1046577,960813,909343,1142241,973656,488512,520318,456046,1424395,1302769,1212302,942222,960386,945577,402996,417998,423979,86566,92994,79295,71641,83166,76136,84226,86444,74050,29946,28927,27713,29695,29796,30473,28332,30796,27353
8 h 50 min,1069362,929708,1016022,937381,740703,832861,417929,428077,422852,902867,1045504,962449,915187,1126057,1001749,500283,528142,468202,1450467,1318252,1233451,935979,966341,944532,402102,421408,425437,90490,95390,82563,76116,85113,80258,85439,88236,75316,30998,30174,28995,30179,30199,31011,28552,30657,28134
9 h ,1047704,913001,997142,926064,726911,823538,417695,421243,416499,902647,1048722,962298,910828,1141774,973312,490836,520249,459622,1427833,1302315,1224403,944009,965172,947722,403876,422426,424708,89032,94215,81019,74900,85718,78160,85359,86453,76105,30589,29638,28469,30391,30561,31110,28951,30408,28073
9 h 10 min,1048282,917374,1002794,924414,725549,822575,418053,423086,419318,905149,1043029,964017,914060,1146394,977712,491840,523426,460337,1429345,1305698,1225063,942098,961789,946388,404426,423402,428737,90260,94127,81812,76543,87757,80155,85252,87599,76496,30786,29547,29267,30818,30505,31823,29722,30897,27770
