time,Negative,Negative,Negative,STAR6 15 nM,STAR6 15 nM,STAR6 15 nM,STAR6 10 nM,STAR6 10 nM,STAR6 10 nM,STAR6 5 nM,STAR6 5 nM,STAR6 5 nM,STAR6 3 nM,STAR6 3 nM,STAR6 3 nM,STAR1 15 nM,STAR1 15 nM,STAR1 15 nM,STAR1 10 nM,STAR1 10 nM,STAR1 10 nM,STAR1 5 nM,STAR1 5 nM,STAR1 5 nM,STAR1 3 nM,STAR1 3 nM,STAR1 3 nM,Without STAR6,Without STAR6,Without STAR6
3 h 42 min,18775,19725,20085,33794,33948,32943,29892,30250,29068,22784,22863,23428,21055,20477,21719,23967,25536,24556,26455,25552,25817,25826,23801,24641,26857,26130,26212,20992,21796,20585
3 h 44 min,18830,19653,20201,33643,34668,32948,30008,30231,29459,22865,22960,23329,21190,20514,21640,24034,25361,25004,26396,25821,25923,25991,23680,24504,27144,26619,26479,20928,21827,20863
3 h 46 min,18991,19972,20065,33920,34508,33395,30079,30522,29059,23074,23257,23480,21239,20989,21604,24142,25475,25025,26895,26014,26013,25959,24015,24897,27378,26483,26376,21052,21962,20600
3 h 48 min,18911,19954,20284,34256,35144,33358,30581,30571,29665,23032,23116,23743,21482,20698,21703,24443,25576,24973,26938,25971,26191,26311,24116,25072,27325,26702,26397,20828,21983,20834
3 h 50 min,19414,19903,20357,34381,35439,33606,30370,30581,29570,23065,23370,23766,21529,20668,21859,24470,26003,25240,27056,26222,26268,26643,24098,24991,27751,26902,26940,21245,22084,21275
3 h 52 min,19107,20031,20502,34621,35547,33610,30428,31137,29958,23408,23337,23762,21709,21064,21851,24609,26061,25532,27536,26372,26401,26488,24337,25208,27655,27180,26801,21111,22019,20837
3 h 54 min,19196,20011,20567,34762,35868,34214,30687,31121,30227,23421,23399,24028,21593,20849,22014,24852,26188,25356,27189,26241,26422,26772,24487,25641,28094,27004,27050,21488,22248,21146
3 h 56 min,19247,20217,20776,35094,36498,34378,30864,31487,29887,23504,23614,24242,21807,21018,22235,24556,26094,25373,27380,26642,26784,26900,24075,25423,28294,27391,26974,21201,22378,21181
3 h 58 min,19631,20001,20393,35429,35866,34608,31347,31449,30377,23417,23693,24307,21993,21209,22096,24715,26301,25680,27553,26734,26681,26937,24839,25544,28049,27583,27126,21594,22290,21495
4,19730,20318,20505,35358,36549,34690,31157,31747,30579,23781,23678,24381,21742,21151,22465,24781,26338,25434,27608,26729,27135,27066,24750,25520,28519,27422,27259,21638,22594,21270
