time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
3 h 44 min,20200,19899,20820,114226,114088.5,113916.5,66032,66339.5,64890.5,67570,70683.5,66221,87143,95469.5,90310.5
3 h 46 min,20005,20234,20875,115432.5,115538.5,115411,66487.5,66838.5,65363.5,68232.5,71543,66920,87633,96170,91644
3 h 48 min,20319,19876,20759,116629,116135,115965.5,67223.5,67742,65865.5,69019,72049.5,67503,88737,97284.5,91946
3 h 50 min,20264,19971,21002,116911.5,117710.5,117500.5,67882,68164,66582,69964,72822.5,68135,89583,98223,93282
3 h 52 min,20170,20236,20943,118931,117944.5,119543.5,68675.5,68891.5,67642,70674,73429.5,68995.5,90448.5,99034.5,94076.5
3 h 54 min,20272,20320,20970,119523.5,119282.5,119962.5,69424,69626.5,67814.5,71407.5,74477,69261,91155,100114.5,95195
3 h 56 min,20392,20430,21255,120924.5,121625,121113,69922.5,70295,68310,72314,75011.5,69963,92123,101142.5,95556
3 h 58 min,20403,20222,21044,122350,122408,122141.5,70731.5,71003.5,69322,72194.5,75872.5,70791.5,92869.5,102423.5,96685
4,20464,20413,21096,123300,123544.5,123214.5,71125.5,71795.5,69658.5,73350,76449.5,71343.5,94109,103119,97823.5
4 h 2 min,20465,20339,21070,124791.5,124250,124365,72193.5,72130,70454,74074,76961.5,72294,94940.5,103963,98582.5
4 h 4 min,20890,20533,21283,125676,125850,125553,72605.5,73034.5,71241,74573,78351.5,72832.5,96343.5,104543,99223.5
4 h 6 min,20830,20371,21055,126825,126615.5,126988,73446.5,73846,72008,75094.5,78615,73549,97030.5,105675.5,100541.5
4 h 8 min,20757,20744,21228,127817,127600.5,127508.5,73740.5,74564.5,72464.5,75491,79384.5,74157.5,98082,106845.5,101176
4 h 10 min,20759,20553,21278,129327.5,128732,128363,74247,74861,73453.5,76451.5,80242.5,74871.5,98845,107868.5,102400
4 h 12 min,21190,20960,21602,130637.5,129890.5,129476,75097.5,75727.5,73762,77553,81046,75649.5,100202,108851,102926
4 h 14 min,21220,20973,21615,131524,131056,131039.5,75960,76831,74606,77921,81367.5,76738,100688,109694.5,103777
4 h 16 min,21015,20740,21961,132194,132125.5,131721.5,76420.5,77103.5,75058.5,78994.5,82184.5,77258.5,101275,110972,104690.5
4 h 18 min,21153,20779,21750,133411,133579,133210,77165.5,77887.5,76331,79387.5,82717,78153.5,103013.5,111625,105561
