time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
66,67802.49795366898,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
68,69471.54496626573,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
70,71140.61553425287,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
72,72809.69545116626,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
74,74478.78619364816,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
76,76147.8783034871,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
78,77816.97455214114,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
80,79486.07276327779,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
82,81155.17352556634,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
84,82824.27780070945,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
86,84493.38461049958,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
88,86162.49355227873,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
90,87831.60414246566,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
92,89500.71463506088,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
94,91169.8254543134,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
96,92838.93571942399,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
98,94508.04579733373,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
100,96177.15616932733,star_antistar_1,Sense with 15 nM STAR,0,-4.212562366008765
0,20979.730467995745,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
2,21026.130756959294,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
4,21209.205396012847,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
6,21492.1373526246,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
8,21838.067697949722,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
10,22224.22382811465,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
12,22636.43711397865,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
14,23065.665511533272,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
16,23506.048105087633,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
18,23953.753906587383,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
20,24406.268893498855,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
22,24861.940227532432,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
24,25319.680698364034,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
26,25778.77538668406,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
28,26238.75460600374,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
30,26699.310173659014,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
32,27160.24022969988,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
34,27621.41273513411,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
36,28082.741965965757,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
38,28544.17201700339,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
40,29005.666482457847,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
42,29467.201741865487,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
44,29928.762642213274,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
46,30390.33999471784,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
48,30851.927932019957,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
50,31313.522264654923,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
52,31775.1201572681,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
54,32236.72005623306,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
56,32698.321226206215,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
58,33159.92320516761,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
60,33621.525769690015,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
62,34083.12850467628,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
64,34544.73165188077,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
66,35006.33443736918,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
68,35467.93725511668,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
70,35929.539628699466,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
72,36391.141899078066,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
74,36852.74406157893,star_antistar_1,Sense with 15 nM STAR and 15 nM antiSTAR,0,-4.4364241155305155
