time,Negative,Negative,Negative,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 5 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 3 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 5 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 10 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM,To3 3 nM + Tr3 5 nM + aTr3 15 nM
5 h 54 min,16783,20441,20432,117278,115056,107650,24347,23909,23875,50786,66376,55830,45574,43771,25105,27511,30704,37728
5 h 56 min,16595,20584,20448,117695,114555,108748,24213,23673,24448,50515,66262,56286,45997,43358,25256,27764,30841,38114
5 h 58 min,16601,20306,20591,117917,115623,108684,24448,24089,24298,50788,66586,56447,45638,43273,25377,27690,30892,38233
6 h ,16589,20446,20661,117778,116130,109378,24437,23947,24061,50716,66994,55802,45471,43667,25210,27652,30912,38415
6 h 2 min,16374,20377,20396,118141,116467,109061,24488,23823,24132,51116,67251,56494,45985,43562,25139,27376,30376,38339
6 h 4 min,16261,20680,20153,118358,116420,109401,24310,23968,24098,51360,67413,57103,46370,43601,25384,27599,30287,38299
6 h 6 min,16162,20145,20364,119165,116954,109288,24488,24013,24447,51424,67689,56640,46025,43731,25456,27566,30686,38719
6 h 8 min,16076,20484,20347,118981,117090,110233,24417,23694,24442,51902,68208,56792,46168,44043,25447,27647,30163,38637
6 h 10 min,16037,20180,20389,119386,116956,110103,24379,24228,24126,51306,68043,56930,46363,43843,25308,27345,30194,38881
6 h 12 min,16049,20237,20397,119555,117430,110719,24500,24022,24359,51889,68946,57318,46397,44079,25468,27385,30120,39363
6 h 14 min,16199,20222,20448,119889,117945,110128,24385,23967,23998,51651,68825,57001,46631,44543,25671,27310,30218,38783
6 h 16 min,16092,20366,20611,120428,117793,110707,24692,24071,24224,51853,69172,57349,46642,44248,25372,27354,29875,38876
6 h 18 min,16199,20346,20408,120394,118406,111133,24920,24469,24495,52246,69313,57602,46800,44682,25500,27247,29673,38675
6 h 20 min,16240,20178,20584,120898,119082,111897,24544,24105,24388,52178,69568,57745,47007,44459,25509,27205,29586,39146
6 h 22 min,16014,20257,20307,120712,119183,111868,24539,24124,24523,52546,69486,58164,47206,44681,25793,27073,29477,39088
6 h 24 min,15707,20286,20284,121082,119252,111197,24334,24050,24358,52094,70045,58176,47283,44458,25655,27167,28937,39207
6 h 26 min,15596,20119,20330,121236,119846,111713,24626,24488,24148,52047,70237,57940,47216,45033,25637,27039,28356,39471
6 h 28 min,15799,20466,20060,121016,119577,112173,24569,24281,24225,52124,70202,58322,47132,45247,25834,26972,29002,38995
