time,Negative,Negative,Negative,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 15 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 10 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 5 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 3 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,STAR-Trigger 0 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 15 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 10 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 5 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 3 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM,Sense-aTrigger 0 nM
2 h 18 min,16727,17403,17395,28252,28133,28775,25410,25967,25557,27335,25807,25595,25420,25012,22952,21718,21605,21122,23016,23847,24490,22075,21369,23947,23130,24521,25178,23496,25579,25421,34179.5,35770.5,33321.5
2 h 20 min,16904,17658,17822,28335,28510,29469,25971,26258,25440,27614,25791,25673,25246,25057,23302,21853,21849,20947,23139,24079,24435,22338,21163,24401,23419,24658,25279,23281,25910,25895,34860.5,36487,33907.5
2 h 22 min,16662,17303,17728,29031,29274,29427,26146,26464,25578,27688,26232,25773,25629,25146,23229,22204,22382,21188,23249,24327,24840,22457,21642,24319,23645,24672,25346,23416,26171,26089,35186.5,37034.5,34445.5
2 h 24 min,16674,17477,17808,29182,28854,29813,26393,26700,26317,28367,26283,25906,25924,25415,23473,22097,22236,21385,23732,24151,25074,22743,21682,24634,23880,24726,25489,23596,26362,26230,36031,37657.5,35133.5
2 h 26 min,17066,17379,17979,29480,29106,30167,26465,27222,26344,28252,26800,25986,26234,25726,23199,22221,22522,21588,23375,24478,25166,23032,21739,24609,24051,25337,25747,24102,26351,26480,36145,37986,35256.5
2 h 28 min,16725,17602,18041,29850,29562,30655,27238,27197,26680,28554,26638,26339,26245,25908,23860,22650,22677,21524,23811,24771,25130,23123,21701,25005,24108,25464,26189,23946,26791,26516,36535.5,38827,35755.5
2 h 30 min,16800,17839,17845,30010,30169,30964,27410,27317,26775,28607,27203,26692,26298,25800,24048,22600,22781,21978,24085,25076,25571,23213,21945,25232,24353,25525,26271,24125,27235,27102,37470,38999,36532
2 h 32 min,17287,17805,18179,30006,30286,31057,27439,27556,27154,28717,27317,26840,26650,26446,24093,22935,22523,21997,23828,24832,25946,23328,22339,24991,24382,25688,26309,24815,27115,27128,37819.5,39908.5,36747
2 h 34 min,17118,17815,17960,30485,30283,31072,27505,28328,27412,29310,27422,26982,27073,26513,24192,22893,22799,22134,23935,25241,26143,23616,22194,25409,24731,25836,26639,24629,27833,27473,38457.5,40478,37471.5
2 h 36 min,17245,17842,18045,30827,30763,31344,27939,28157,27502,29198,27682,27224,26794,26354,24536,23288,22899,22285,24423,25306,26181,23631,22407,25461,25265,26306,26997,24878,27812,27699,39005,40934.5,38165
2 h 38 min,17205,17928,17982,31036,30985,31837,28523,28571,27571,29595,27946,27185,27005,26774,24675,23450,23120,22428,24527,25658,26158,23733,22887,25626,25282,26574,27050,24952,27858,27952,39371.5,41272.5,38377
2 h 40 min,17035,17849,18044,31477,31740,32537,28380,29073,28041,29836,28303,27917,27512,27121,24983,23633,23466,22532,24697,25717,26297,23799,22411,26018,25077,26396,27181,25084,28348,28352,39874,42088.5,38876.5
2 h 42 min,17157,18157,18163,31793,31608,32302,28522,28905,28222,29816,28336,27452,27383,27140,25074,23719,23767,22780,24949,25953,26739,24278,22598,26121,25386,26695,27471,25450,28555,28280,40387.5,42508,39586.5
2 h 44 min,17133,18105,18384,32158,32016,32983,28775,29223,28425,30238,28648,27980,27746,27036,25085,23864,23559,22977,25091,26155,27094,24329,22816,26244,25732,26812,27866,25879,28947,28812,41321.5,42903.5,40128.5
2 h 46 min,17082,18157,18533,32346,32354,33178,29144,29625,29141,30593,28951,28360,27987,27682,25478,24117,23730,23146,25371,26297,27094,24382,23183,26501,26004,27177,27872,26351,29231,28946,41878,43943.5,40611.5
2 h 48 min,17362,17940,18269,32732,32452,33540,29544,29695,29048,30906,28903,28373,28035,28068,25461,24208,23928,22868,25688,26431,27073,24537,23114,26816,26388,27538,28187,26177,29132,29299,41958,44496.5,41054.5
2 h 50 min,17310,18088,18465,33321,32692,33494,29880,30188,29363,31125,29216,28791,28545,27866,25630,24369,24262,23396,25625,26644,27461,24863,23426,26740,26386,27638,28378,26378,29566,29602,42592.5,45057.5,42010
2 h 52 min,17438,18300,18700,33329,33069,34026,29822,30461,29785,31061,29356,28725,28495,28244,26194,24558,24466,23180,25536,26934,27558,24668,23601,27023,26705,27625,28708,26769,29815,29652,42967,45363,42313
2 h 54 min,17514,18190,18390,33709,33495,34071,30469,30347,29788,31466,29656,28960,29163,28510,26292,24553,24437,23363,25812,26876,27731,25339,23469,27282,26580,28241,28831,26855,30451,30373,43720.5,46271.5,42855
2 h 56 min,17650,18467,18903,33729,33901,34740,30691,30714,30153,32050,29838,29161,29314,28457,26496,24860,24524,23743,26184,27134,28040,25346,23575,27314,26744,28395,28991,27028,30414,30132,44285.5,46523,43047
2 h 58 min,17493,18337,18894,34243,34374,35005,30753,31621,30188,32107,30182,29800,29048,28463,26796,25029,24861,23830,26414,27450,28019,25457,24111,27667,27444,28460,29108,27267,30851,30433,44939,46964,43953
3,17578,18461,18794,34878,34604,35504,31010,31652,30800,32343,30470,29588,29528,29207,26939,25097,25150,23848,26538,27806,28579,25418,24173,27641,27348,28502,29905,27695,31226,30731,45345.5,47845,44503.5
3 h 2 min,17820,18472,18861,34841,34841,35553,31125,31949,30958,32234,30506,30127,29968,29268,26716,25188,25194,24037,26569,27886,28688,25414,24117,27929,27451,28779,29657,28080,31212,31359,46232.5,48401,44686.5
