time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
4 h 58 min,62220,54495,63803,54526,59423,58692,49725,45563,44524,36366,35972,36705,32550,32264,32527,25758,27457,28451,21669,23435,22816,21387,21668,22953
5h,62906,54931,64548,55378,59461,59526,49314,46029,44948,36391,36433,36491,32298,32349,32356,26018,27485,28656,22054,23234,23319,21306,21728,23054
5 h 2 min,63173,55243,65062,55318,60386,59851,50565,46773,45144,36984,36695,36961,33086,32274,32403,25969,27876,28949,21911,23249,23321,21454,22061,22938
5 h 4 min,63664,56383,65281,56452,61002,60402,50352,46819,45376,37321,37001,37507,32527,33087,33192,26263,27319,28716,21927,23320,23288,21011,22185,23052
5 h 6 min,64976,56423,66378,56409,61510,60821,50737,46635,45867,37230,37515,37234,33068,33268,33171,26041,27583,28876,22227,23345,23430,21278,22212,22874
5 h 8 min,65058,56513,66495,57369,61516,61457,51576,47875,46044,37544,37394,37610,33382,32983,33234,26197,27860,28989,22256,23688,23296,21372,22285,22943
5 h 10 min,66003,57322,67130,57572,62049,62091,51515,48045,46811,37832,37965,37893,33442,33197,33507,26604,27729,29427,22175,23682,23266,21388,22171,23311
5 h 12 min,66175,57825,67963,58111,62756,62802,51820,48244,46599,37912,37727,38188,33728,33447,33335,26311,27769,29131,22267,23738,23461,21494,22433,23088
5 h 14 min,66864,58332,68258,58689,63976,63424,52744,48614,47426,38663,38250,37929,33617,33553,33824,26777,27947,29373,22457,23601,23457,21468,22552,23034
5 h 16 min,67859,58628,68819,58860,64578,63952,52933,49333,47531,38630,38419,38245,34089,33568,33965,26524,27980,29388,22506,24002,23565,21556,22525,23292
5 h 18 min,67545,59416,69470,59543,64990,63956,53377,49445,47870,38967,38268,38974,33802,33688,33943,26738,28281,29432,22694,23685,23928,21416,22525,23169
5 h 20 min,68762,59726,69794,60128,65214,64608,53669,50282,47944,39093,38776,38952,33604,33856,34166,26918,28543,29433,22783,24205,23792,21640,22585,23414
5 h 22 min,69112,60334,70610,60684,66127,64891,53936,50764,48935,39656,38794,39037,34094,34219,34580,26931,28685,29799,22558,23876,23462,21642,22872,23443
5 h 24 min,69942,61397,71362,61283,66615,66175,54711,50705,48903,39776,39319,39010,34025,34610,34830,27137,28588,29858,22956,24439,23627,21694,22818,23228
5 h 26 min,70603,61340,71698,61694,66552,66057,55145,51340,49280,40053,39585,39417,34013,34410,34814,27087,28855,29846,22925,24478,23755,21927,23167,23688
5 h 28 min,70703,61857,71750,62002,67986,66840,55598,51231,50003,39899,39954,39449,34386,34599,34869,27053,28784,30092,22790,24354,23883,21717,23168,23392
5 h 30 min,71457,62482,72851,62587,68368,66942,55481,51736,50068,40114,40217,39863,34357,34631,34952,26995,28952,29987,22774,24144,24067,21761,22834,23575
5 h 32 min,72286,63121,72866,63101,68984,67919,55737,52200,50607,40574,40352,40298,34835,35211,35601,27209,28686,30335,22948,24099,23914,21682,22823,23477
