time,15 nM,15 nM,15 nM,12 nM,12 nM,12 nM,10 nM,10 nM,10 nM,7 nM,7 nM,7 nM,5 nM,5 nM,5 nM,3 nM,3 nM,3 nM,0 nM,0 nM,0 nM,Negative,Negative,Negative
4 h 52 min,66841,65811,71683,75933,72390,69956,71899,71559,63091,61134,69758,61672,46164,44608,43996,31500,41445,39773,30370,32776,29966,21921,21767,22711
4 h 54 min,67513,66064,72176,76150,72911,70507,72136,71849,63851,61355,69841,61906,46862,44400,44411,31585,41056,39524,30649,32998,30513,22116,21428,22901
4 h 56 min,67587,66554,72159,76366,72961,70887,72373,72815,63585,61440,70349,62226,47049,44574,44492,32056,41074,39860,30780,32731,30289,22321,21675,22877
4 h 58 min,68115,66337,72510,77061,73313,71306,72923,72741,64472,62326,70468,62924,47054,44609,44953,32304,41634,40028,30968,32451,30525,22097,21688,23059
5,67924,66105,72393,77271,73113,71385,73811,73169,64491,62722,70879,63007,47202,45299,44545,31988,41920,40318,30638,32683,30422,22308,21661,23018
5 h 2 min,68140,66904,72938,77853,74091,72364,73941,74174,64922,62497,71318,63996,47380,45405,45183,32413,41699,40150,30660,32813,30614,22272,22220,23159
5 h 4 min,68404,67073,73314,78032,74909,72177,74163,73955,65412,62969,71939,64045,48175,45572,45105,32452,41679,40162,31213,32851,30413,22303,21851,23297
5 h 6 min,68925,67026,73546,78324,74899,72749,74807,74544,65320,63656,72226,64625,48087,45834,45460,32141,41986,40583,31283,32965,30758,22183,21810,22882
5 h 8 min,68959,67871,73731,78509,75577,73023,75369,75111,65689,64526,73113,64544,48174,46126,45488,32473,42127,40454,31364,33099,30636,22307,22223,23104
5 h 10 min,69255,67329,74077,78894,75386,73186,75987,75555,65992,63906,73498,65120,48937,45487,45938,32389,42262,40844,31144,33151,30969,22245,22293,23370
5 h 12 min,69640,68022,74074,79934,76017,74062,75977,76268,66568,64552,73491,65549,48579,45967,46204,32539,42037,40795,31327,33299,31406,22167,22201,23457
5 h 14 min,69701,67836,74280,80101,76347,74531,76348,76505,67116,64888,73882,65683,48645,46270,46464,32029,42314,40919,31461,33206,30755,22616,22288,23139
5 h 16 min,70117,68318,74813,80397,75981,74500,76234,76427,66555,65282,75363,66340,49184,46414,46646,32404,42592,41050,31352,33375,31118,22621,22155,23299
5 h 18 min,70261,68701,75416,80485,77160,74734,77204,76774,67854,65633,75122,66701,49653,46466,47175,32544,42422,41161,31410,32957,30921,22525,22303,23118
5 h 20 min,70736,68352,75170,80918,77276,74920,77519,77495,67574,66555,76047,67307,49823,46686,47144,32645,42379,41011,31534,32989,30935,22607,22432,23283
5 h 22 min,70884,68905,75280,81102,77597,75541,77534,77436,68534,65826,76045,67599,49933,46882,47399,32700,42629,41241,32043,33555,31339,22711,22410,23431
5 h 24 min,70429,68642,75930,81343,77250,76159,77953,78388,68080,66281,76280,67058,50393,47044,47501,33039,43311,41495,31751,33521,31201,22777,22555,23375
5 h 26 min,71003,68797,76022,81674,78556,76299,78415,78265,68452,66935,76563,68085,50542,47151,47310,33055,42880,41307,31778,33537,31212,22551,22471,23290
5 h 28 min,71013,68918,75843,82269,78927,76763,78766,78998,69256,66940,77188,68656,50807,47215,47500,32791,43289,41563,31867,33614,31282,22772,22527,23346
5 h 30 min,71586,69474,76599,82202,79675,76413,78482,79096,69345,67633,77497,68497,50828,47126,48055,33028,43134,41225,31628,33364,31212,22761,22395,23619
5 h 32 min,71578,69370,76096,82596,79055,76721,79740,78807,69432,68087,77869,69507,51041,47751,48423,32731,43287,41748,32049,33557,31302,22807,22677,23256
