time,negative control,negative control,negative control,3 nM sfGFP,3 nM sfGFP,3 nM sfGFP
6 h 59 min,45550,46080,47310,741599,729296,686384
7 h ,45619,46014,47510,745696,734132,686562
7 h 1 min,45540,45624,47069,743230,733995,687151
7 h 2 min,45554,45900,47226,742887,731173,688398
7 h 3 min,45427,45885,47138,746066,739558,690357
7 h 4 min,45499,45704,47457,748422,737749,692823
7 h 5 min,45889,46457,47283,751793,741229,695153
7 h 6 min,45613,46057,47485,752916,740709,694591
7 h 7 min,45780,46027,47446,754040,743134,697372
7 h 8 min,45331,46335,47726,755136,744038,698633
7 h 9 min,45255,46001,47187,758630,746518,700373
7 h 10 min,45573,45997,47482,759178,749149,700825
7 h 11 min,45412,46076,47545,760000,747559,699304
7 h 12 min,45561,45854,47409,762535,748053,703360
7 h 13 min,45534,46283,47952,762959,750313,703716
7 h 14 min,46149,46219,47491,766302,752711,706250
7 h 15 min,45707,46328,47191,766330,755766,706538
7 h 16 min,45750,46041,47415,758027,748203,704784
7 h 17 min,45556,46111,47616,769317,759657,710018
7 h 18 min,46053,46579,47567,770262,757369,710237
7 h 19 min,45834,46211,47325,765604,756492,708854
7 h 20 min,46140,46172,47565,770550,760027,711704
7 h 21 min,45889,46698,47822,770057,760740,711635
7 h 22 min,45392,46515,47836,773263,763110,714978
7 h 23 min,45207,46199,47644,776359,763946,717362
7 h 24 min,44924,46634,47423,775263,766316,718650
7 h 25 min,45503,46174,47642,779839,767124,718349
7 h 26 min,45614,46867,47780,779538,769111,720116
7 h 27 min,45907,46335,47370,783086,771947,722856
7 h 28 min,45204,46647,47804,783401,770755,721829
7 h 29 min,45788,46454,47945,783429,773139,723171
7 h 30 min,46029,46611,47548,785881,773838,725377
7 h 31 min,46247,46733,47710,788265,777674,725638
7 h 32 min,45783,46256,47258,787210,776332,726734
7 h 33 min,45264,46397,47142,786881,775414,728679
7 h 34 min,45723,46162,47707,789033,779181,727994
7 h 35 min,45550,46263,47606,788923,780127,728528
7 h 36 min,45546,46259,47564,790786,782251,731049
7 h 37 min,45646,46333,47384,791923,784634,734036
7 h 38 min,46058,46284,47602,792252,782168,731132
7 h 39 min,45662,46590,48041,794856,786265,733927
7 h 40 min,45800,46738,47868,799349,789074,737379
7 h 41 min,46218,46486,47880,796691,790101,735817
7 h 42 min,45811,46487,47818,798569,792115,738421
7 h 43 min,45774,46127,47439,798473,789457,741325
7 h 44 min,46324,46486,47712,805844,796034,740996
7 h 45 min,46045,46522,47522,799034,790896,741956
7 h 46 min,46077,46702,47778,804487,795869,743422
7 h 47 min,45872,46475,47498,806132,798103,746244
7 h 48 min,45921,46700,48191,806762,798171,747409
7 h 49 min,45718,46473,47879,809255,799925,748779
7 h 50 min,45525,46373,47841,807707,799870,748477
7 h 51 min,45788,46524,47688,809201,800377,749039
7 h 52 min,45503,46293,47573,809803,804611,750532
7 h 53 min,46224,46581,47880,811790,805309,752122
7 h 54 min,46049,46370,47421,813407,807255,754519
7 h 55 min,45841,46897,48415,810927,805871,752464
7 h 56 min,46098,46382,47564,817147,809324,755561
7 h 57 min,45966,46575,47829,816627,810447,754972
7 h 58 min,46101,46636,47883,819942,812133,759575
7 h 59 min,45704,46418,47770,817271,810680,759383
8 h ,45972,46701,47987,821943,814955,757273
8 h 1 min,46006,46530,47720,820723,815133,761110
8 h 2 min,45930,47024,47728,824738,816407,761493
8 h 3 min,45887,46325,47736,824628,817175,764357
8 h 4 min,46177,46625,47823,823600,817038,764357
8 h 5 min,46128,46448,47905,825450,818134,764247
8 h 6 min,46139,46720,48335,830465,822998,767412
8 h 7 min,46147,46679,48347,823231,817298,763192
8 h 8 min,46247,46786,47813,832260,824628,769563
8 h 9 min,46245,46609,47877,831506,827327,770385
8 h 10 min,46034,46227,47856,831629,823861,770440
8 h 11 min,46221,46997,47957,834178,828684,773413
8 h 12 min,45926,46540,47933,835137,828766,775263
8 h 13 min,45356,46527,48527,834205,826491,774249
8 h 14 min,46011,46678,48163,839069,834698,777277
8 h 15 min,45880,46731,47922,840151,834233,778688
8 h 16 min,45979,46653,48304,840439,834465,779880
8 h 17 min,46425,46995,47871,841330,838726,780360
8 h 18 min,45991,46471,48290,841343,836904,779181
8 h 19 min,45911,46735,47797,843179,840960,782662
8 h 20 min,46378,46964,48511,847618,840699,783237
8 h 21 min,46485,47045,48566,844892,838288,782799
8 h 22 min,46047,46578,47739,847194,844056,786731
8 h 23 min,45912,46697,48269,847057,843248,787416
8 h 24 min,46426,47476,48275,846125,843673,786059
8 h 25 min,46275,46802,47970,852318,847112,787799
8 h 26 min,46048,46723,48317,852441,849701,792526
8 h 27 min,45777,46983,48116,852948,847865,793170
8 h 28 min,46190,46986,48562,856236,851756,793896
8 h 29 min,45959,46530,47859,856976,852181,793307
8 h 30 min,45680,47065,48135,859484,852852,796527
8 h 31 min,45854,46757,47873,859799,855456,796486
8 h 32 min,45694,46833,48117,860991,855497,798281
8 h 33 min,45959,46695,48066,860251,858223,798719
8 h 34 min,46225,46706,48320,863662,859662,798295
8 h 35 min,46458,46888,48764,865211,861799,801350
8 h 36 min,46202,47087,48331,866142,864978,802117
8 h 37 min,46086,46478,47830,865649,864854,803199
8 h 38 min,46021,47066,48099,861922,861155,801775
8 h 39 min,46482,46587,48408,868266,867197,807830
8 h 40 min,46339,47180,48067,870513,868074,807173
8 h 41 min,46233,46744,48307,872856,869622,809036
8 h 42 min,46390,47095,48519,864813,861703,806433
8 h 43 min,46096,47121,48004,876226,873651,811626
8 h 44 min,46268,46973,48214,875226,873856,812790
8 h 45 min,46667,47245,48224,877816,877048,812270
8 h 46 min,45855,46976,48651,878432,877501,813969
8 h 47 min,46350,47258,48734,883008,879501,817421
8 h 48 min,46578,46851,48335,881967,880734,817928
8 h 49 min,46340,47336,48487,874363,873746,814640
8 h 50 min,46204,46908,48311,882214,881200,819216
